issue_id,issue_link,post,q1,a1,q2,a2,q3,a3,q4,a4,q5,a5,q6,a6,q7,a7,q8,a8,q9,a9,q10,a10
jquery_jquery-mobile_issues_3619,https://github.com/jquery/jquery-mobile/issues/3619,"I've found the the swipejs library's use of style.webkitTransform = 'translate3d(' + -(index \* this.width) + 'px,0,0)'; causes jquery mobile select menu's not to work on Android 2.2.3. The sample code that demostrates this has been posted on http://stackoverflow.com/questions/9383077/jquery-mobile-and-swipe-js-incompatibility-causes-select-list-not-to-work-on-and","Would you be able to provide a repo, plunker or code snippet I can use to reproduce this issue? Thanks for using Ionic!",,What version of iOS are you using? What web browser?,,Could you add the possibility to override the off-canvas-menu mixin ? (And tell why you chose 100.5%),,Can you create a jsfiddle that reproduces this?,,Do you have a jsbin/jsfiddle that reproduces the issue?,,Could you please create a sample application demonstrating the problem and a js-fiddle using the same jQuery UI version from the official source that works properly?,,"Could please add some details about your mobile device/os? Android, iOS or something else?",,"Shouldn't this be reported on the swipejs tracker, not here?",,Can you please try it locally and with downloaded libraries instead of linking to the raw code on Github?,,"Does it work here? https://select2.github.io/examples.html Otherwise it doesn't appear to be a bug, it's a usage question.",
alexfernandez_loadtest_issues_107,https://github.com/alexfernandez/loadtest/issues/107,"statusCallback(latency, result, error) `error` is not returning requestElapsed, requestIndex, instanceIndex. It is only returning `Status code 503` for a failed request with status code 503. Here is some sample output for failed request: latency: result: error: summary: Is there any way to get requestElapsed, requestIndex, instanceIndex and also headers for a failed request?","What are the instructions to reproduce the problem? If you want us to take the time to investigate, please take the time to explain how the issue can be reproduced.",,What OS are you using?,,Can you copy/paste the full request (as text/plain) ? Thanks.,,"Could you paste the rest of it? also, which version of elasticsearch are you running?",,Did you look at the [example on the docs site](http://lavacharts.com/#javascript-ajax)?,,"Can you please explain what is your use case to need them in errors also? Just curious, in my experience I have not ever needed that.",,What servlet container are you using? Do you have a reduced test case you can attach?,,Can you share the PCAP and any configuration settings that you've changed?,,What is the motivation for this feature request?,,Why you need it?,
dresden-elektronik_deconz-rest-plugin_issues_859,https://github.com/dresden-elektronik/deconz-rest-plugin/issues/859,Upgraded to 2.05.40 today. It takes forever to connect to devices. Several devices are never connected and there is almost no meshing connections with the ones that do connect.,Which devices do you use?,,Do you know what firmware your Conbee 2 is running? it looks like the current version has serious issues on the Pi 4... See #2419,,"Which versions? I see no mention of this on the [release notes](http://www2.meethue.com/en-us/support/release-notes/lamps-luminaires), nor in the Hue developer forum.",,Does ioBroker use the sensor names to match devices? It would be more robust when id/uniqueid is used for this purpose instead of specific names.,,Can you enable Wifi to make tests with it ? Can you see it on your router admin page when it was offline ?,,"Did you press the ""Connect app"" button in Deconz => Gateway ?",,Does it support power measurement? What are the clusters read?,,Maybe the Raspberry .deb binaries might work?,,Which one? Can you please post a screenshot of the Node Info Panel when it's selected?,,Do the dimmers work fine with Deconz? Product link below. SM309 ZIGBEE DIMMER SWITCH https://www.samotech.co.uk/products/zigbee-dimmer-switch-hue-compatible/,
cuckoosandbox_cuckoo_issues_1967,https://github.com/cuckoosandbox/cuckoo/issues/1967,Not sure why...I have these as default in reporting.conf: ![2017-11-17 11_58_07-cuckoo sandbox](https://user-images.githubusercontent.com/947191/32964186-8e7d7a26-cb8f-11e7-8877-a0884da6feed.png),Can you find out in which process that URL was found? Might just be the malware checking in ;),,Could you show me the error log in the Inspector? And were there any other errors in the build?,,Can you copy the correct message to the comment itself (so I can copy it into the script and check its binary codes)?,,Did you start the VM yourself? Cuckoo will do this for you :-),,"Do you not have a PvP manager, such as WorldGuard, PvPManager, Factions, etc? What about build protection?",,Did you adjust selector to match your html structure?,,Could you give me some insight into the type of traffic and how many subscriptions the system is dealing with long term?,,What is your kernel version?,,can you say specifically what is wrong ? ex what field is incorrect display and how should it look? is the top image zipkin 2.6?,,What are your routing settings? Have you activated that the app should prefer minor roads?,
WickyNilliams_headroom.js_issues_205,https://github.com/WickyNilliams/headroom.js/issues/205,"Good day, In some cases, header opens (or hides) twice on scrolling up or scrolling down. When smooth scrolling is disabled - everything is ok.","Could you post a link to the page you're having difficulty with, and I'll take a look?",,Do you face any particular problem with ScrollingComposite in FluidGrid-Layout?,,Where are you scrolling?,,"What is ""smooth scrolling""? Which OS? Do you have detailed steps to reproduce?",,Could you provide some more details about the content you are trying to show and the way you create your ui? Maybe even show a snippet?,,"What browser, browser version, OS, and OS version?",,"What about other browsers? Also, please confirm that this page doesn't work: http://blog.lazd.net/iNoBounce/",,Could I have your initialization settings ?,,Do you have any other example?,,"What distro are you running this on? Also, I assume nemo 2.2.x?",
mattn_go-sqlite3_issues_102,https://github.com/mattn/go-sqlite3/issues/102,I could not use it on my Mac 10.9,What do you mean?,,Would you mind reopening this on the https://github.com/atom/node-minidump repo?,,"What's the version of your compiler, and what operating system are you using?",,Can you post some more code?,,"Could you, please, show me the file you linting?",,What is that ?,,Could you make a small repo that reproduces your use case please?,,did you see https://github.com/mattn/go-sqlite3/issues/336 ?,,Do you use clang?,,Which version of Devel::PPPort do you have?,
ezyang_htmlpurifier_issues_93,https://github.com/ezyang/htmlpurifier/issues/93,"First, awesome package! I began using it to eliminate all of the garbage from MSWord copy & paste. Everything is working great but I **simply cannot** figure out how to allow YouTube videos. I have tried multiple code examples, no matter what the `iframe` tag is always removed. What am I missing here? Code:",Can you paste the HTML you are trying to allow?,,Can you give the URL that was still failing?,,Could you give us a few examples of what their embed code looks like?,,Can you provide the error from the logs?,,"What I have to see in Visualizer folder? ""C:\Users\malejik\Documents\Visual Studio 2017\Visualizers"" i have only attribcache140.bin file",,Why not direct ffmpeg -i [...] -f [...] ?,,Can you put the output with the --verbose option?,,does the plugin in general work? Or it just doesn't work for this pattern?,,"When should Zotero ""follow"" a shortened link?",,"What Qt version, backend and qutebrowser version? (There's a reason the issue template asks you for this - so I don't have to :wink:)",
pyload_pyload_issues_1311,https://github.com/pyload/pyload/issues/1311,"Hello, i found a small bug if any download via zippyshare. In some downloads, you get only a file.html file instead of the realy filename. Here is an example to test 3616 03.04.2015 23:13:26 DEBUG ReCaptcha: Key not found 3615 03.04.2015 23:13:26 DEBUG ZippyshareCom: Handled as free download 3614 03.04.2015 23:13:26 DEBUG ZippyshareCom: File status: online 3613 03.04.2015 23:13:26 DEBUG ZippyshareCom: File name: tvp-starwarsrebels-s01e01e02-720p.part1.rar | File size: 155189248 byte 3612 03.04.2015 23:13:26 DEBUG ZippyshareCom: Current file info: {'status': 2, 'name': u'tvp-starwarsrebels-s01e01e02-720p.part1.rar', 'url': u'http://www56.zippyshare.com/v/JzrRg8mW/file.html', 'pattern': {'S': u'148', 'U': u'MB', 'KEY': u'JzrRg8mW', 'N': u'tvp-starwarsrebels-s01e01e02-720p.part1.rar'}, 'size': 155189248.0} 3611 03.04.2015 23:13:26 DEBUG ZippyshareCom: Previous file info: {'status': 2, 'name': u'tvp-starwarsrebels-s01e01e02-720p.part1.rar', 'url': u'http://www56.zippyshare.com/v/JzrRg8mW/file.html', 'pattern': {'S': u'148', 'U': u'MB', 'KEY': u'JzrRg8mW', 'N': u'tvp-starwarsrebels-s01e01e02-720p.part1.rar'}, 'size': 155189248.0} 3610 03.04.2015 23:13:26 DEBUG ZippyshareCom: Update file info... 3609 03.04.2015 23:13:26 DEBUG ZippyshareCom: File name: tvp-starwarsrebels-s01e01e02-720p.part1.rar | File size: 155189248 byte 3608 03.04.2015 23:13:26 DEBUG ZippyshareCom: Current file info: {'status': 2, 'name': u'tvp-starwarsrebels-s01e01e02-720p.part1.rar', 'url': u'http://www56.zippyshare.com/v/JzrRg8mW/file.html', 'pattern': {'S': u'148', 'U': u'MB', 'KEY': u'JzrRg8mW', 'N': u'tvp-starwarsrebels-s01e01e02-720p.part1.rar'}, 'size': 155189248.0} 3607 03.04.2015 23:13:26 DEBUG ZippyshareCom: Previous file info: {'status': 2, 'url': u'http://www56.zippyshare.com/v/JzrRg8mW/file.html', 'size': 155189248.0, 'name': u'tvp-starwarsrebels-s01e01e02-720p.part1.rar', 'pattern': {'S': u'148', 'U': u'MB', 'KEY': u'JzrRg8mW', 'N': u'tvp-starwarsrebels-s01e01e02-720p.part1.rar'}} 3606 03.04.2015 23:13:26 DEBUG ZippyshareCom: Update file info... 3605 03.04.2015 23:13:26 DEBUG ZippyshareCom: File status: online 3604 03.04.2015 23:13:26 DEBUG ZippyshareCom: File name: tvp-starwarsrebels-s01e01e02-720p.part1.rar | File size: 155189248 byte 3603 03.04.2015 23:13:26 DEBUG ZippyshareCom: Current file info: {'status': 2, 'url': u'http://www56.zippyshare.com/v/JzrRg8mW/file.html', 'size': 155189248.0, 'name': u'tvp-starwarsrebels-s01e01e02-720p.part1.rar', 'pattern': {'S': u'148', 'U': u'MB', 'KEY': u'JzrRg8mW', 'N': u'tvp-starwarsrebels-s01e01e02-720p.part1.rar'}} 3602 03.04.2015 23:13:26 DEBUG ZippyshareCom: Previous file info: {} 3601 03.04.2015 23:13:26 DEBUG ZippyshareCom: Update file info... 3600 03.04.2015 23:13:26 INFO Download starts: tvp-starwarsrebels-s01e01e02-720p.part1.rar 3599 03.04.2015 23:13:25 DEBUG ReCaptcha: Key not found 3598 03.04.2015 23:13:25 DEBUG ZippyshareCom: Handled as free download 3597 03.04.2015 23:13:25 DEBUG ZippyshareCom: File status: online 3596 03.04.2015 23:13:25 DEBUG ZippyshareCom: File name: file.html | File size: 157286400 byte 3595 03.04.2015 23:13:25 DEBUG ZippyshareCom: Current file info: {'status': 2, 'name': u'file.html', 'url': u'http://www27.zippyshare.com/v/2AEwGYlh/file.html', 'pattern': {'S': u'150', 'U': u'MB', 'KEY': u'2AEwGYlh'}, 'size': 157286400.0} 3594 03.04.2015 23:13:25 DEBUG ZippyshareCom: Previous file info: {'status': 2, 'name': u'file.html', 'url': u'http://www27.zippyshare.com/v/2AEwGYlh/file.html', 'pattern': {'S': u'150', 'U': u'MB', 'KEY': u'2AEwGYlh'}, 'size': 157286400.0} 3593 03.04.2015 23:13:25 DEBUG ZippyshareCom: Update file info... 3592 03.04.2015 23:13:25 DEBUG ZippyshareCom: File name: file.html | File size: 157286400 byte 3591 03.04.2015 23:13:25 DEBUG ZippyshareCom: Current file info: {'status': 2, 'name': u'file.html', 'url': u'http://www27.zippyshare.com/v/2AEwGYlh/file.html', 'pattern': {'S': u'150', 'U': u'MB', 'KEY': u'2AEwGYlh'}, 'size': 157286400.0} 3590 03.04.2015 23:13:25 DEBUG ZippyshareCom: Previous file info: {'status': 2, 'url': u'http://www27.zippyshare.com/v/2AEwGYlh/file.html', 'size': 157286400.0, 'name': u'file.html', 'pattern': {'S': u'150', 'U': u'MB', 'KEY': u'2AEwGYlh'}} 3589 03.04.2015 23:13:25 DEBUG ZippyshareCom: Update file info... 3588 03.04.2015 23:13:25 DEBUG ZippyshareCom: File status: online 3587 03.04.2015 23:13:25 DEBUG ZippyshareCom: File name: file.html | File size: 157286400 byte 3586 03.04.2015 23:13:25 DEBUG ZippyshareCom: Current file info: {'status': 2, 'url': u'http://www27.zippyshare.com/v/2AEwGYlh/file.html', 'size': 157286400.0, 'name': u'file.html', 'pattern': {'S': u'150', 'U': u'MB', 'KEY': u'2AEwGYlh'}} 3585 03.04.2015 23:13:24 DEBUG ZippyshareCom: Previous file info: {} 3584 03.04.2015 23:13:24 DEBUG ZippyshareCom: Update file info... 3583 03.04.2015 23:13:24 INFO Download starts: file.html 3582 03.04.2015 23:13:24 DEBUG Redirected import module.plugins.internal.CaptchaService -> userplugins.internal.CaptchaService 3581 03.04.2015 23:13:24 DEBUG Redirected import module.plugins.hoster.ZippyshareCom -> userplugins.hoster.ZippyshareCom",What kind of transaction was it before things got corrupted?,,What else do you expect?,,what exactly did you clone? the entire repo or just the userplugins folder into your user config folder?,,What do you mean by corrupted? Which programs fail to open the PDF? How do these programs react? Please copy-paste the console output of pdfsizeopt.,,Can you watch it in browser?,,Could you provide savestate for older version of Project64 or for another emulator?,,"Does the change I mentioned get your example working? Or have you looked at IPython, where this code lives now?",,"Does everything work when you remove, say, 5 other mods?",,what OS and JS engine are you using ?,,What would you expect to happen in this case? Throwing an error that requested format is not available?,
forcedotcom_SalesforceMobileSDK-iOS_issues_307,https://github.com/forcedotcom/SalesforceMobileSDK-iOS/issues/307,Would be good to have the RestKit binary updated to a version that supports the armv7s architecture. I just integrated the SalesForce SDK to my project and there is a link error when building for devices because the RestKit doesn't have the armv7s binary.,What version are you using and in what context?,,Did you build FFmpeg successfully?,,Which version of the SDK are you targeting?,,Does it work with 0.17.0?,,does librocksdb.a exist after make? We deliberately don't include some parts of our codebase in IOS install to keep the size of the produced library small. This is expected.,,"What kind of hardware is this, could it be another case of a big.little cpu combination where half of the cores (or more) are much slower than the others ?",,Should we go for the new interface then?,,Did you fetch the submodule?,,What SDK are you building against?,,Can you try updating again?,
ytdl-org_youtube-dl_issues_5745,https://github.com/ytdl-org/youtube-dl/issues/5745,"The broadcast has started, and can be viewed through the browser.",Could it be an agressive browser cache?,,Can you download it now?,,What's an example of how it did not work? I haven't noticed any problems with it.,,Why would you need to DRM protect subtitles?,,Do you see the same problem if you use a vanilla video element?,,What else do you expect to see when height is unknown without downloading the video itself?,,Did you install Twincat on your PC and setup the routes to your target properly?,,What would these look like? What would be the advantage for the user?,,"would you care to elaborate on what you mean, please? For example, I don't see in what way the events example is ""unintuitive, circular and very particular""",,Do you have gm_bass installed? At the moment it is broken and conflicts with GMod's BASS channels.,
